SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_LAT,KMA_LON,KMA_CAT,KMA_WIND,KMA_PRES,KMA_R50_DIR,KMA_R50_LONG,KMA_R50_SHORT,KMA_R30_DIR,KMA_R30_LONG,KMA_R30_SHORT,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2018280N18273,2018,95,,CS,MICHAEL,2018-10-06 18:00:00,DS,17.8,-86.6,25,1006,hurdat_atl,main,134,110,O______________,hurdat_atl,AL142018,17.8,-86.6, ,LO,25,1006,-3, , , , , , , , , , , , ,1009,180,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35, , , , , , , , , ,5,310
2018280N18273,2018,95,,CS,MICHAEL,2018-10-06 21:00:00,DS,18.0,-86.8, , , ,main,108,95,P______________, ,AL142018,18.0,-86.8, ,LO,25,1005,-3, , , , , , , , , , , , ,1009,180,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,315
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 00:00:00,DS,18.1,-86.9,25,1004,hurdat_atl,main,95,95,O______________,hurdat_atl,AL142018,18.1,-86.9, ,LO,25,1004,-3, , , , , , , , , , , , ,1009,180,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35, , , , , , , , , ,3,340
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 03:00:00,DS,18.2,-86.9, , , ,main,95,90,P______________, ,AL142018,18.2,-86.9, ,LO,28,1004,-3, , , , , , , , , , , , ,1010,210,105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,15
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 06:00:00,TS,18.4,-86.8,30,1004,hurdat_atl,main,97,95,O______________,hurdat_atl,AL142018,18.4,-86.8, ,TD,30,1004,-1, , , , , , , , , , , , ,1010,240,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, , , , , , , , , ,4,35
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 09:00:00,TS,18.6,-86.6, , , ,main,110,107,P______________, ,AL142018,18.6,-86.6, ,TD,33,1004,-1, , , , , , , , , , , , ,1010,255,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,45
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 12:00:00,TS,18.8,-86.4,35,1003,hurdat_atl,main,124,124,O______________,hurdat_atl,AL142018,18.8,-86.4, ,TS,35,1003,0,120,180,0,0, , , , , , , , ,1009,270,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, , , , , , , , , ,7,60
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 15:00:00,TS,18.9,-86.0, , , ,main,161,157,P______________, ,AL142018,18.9,-86.0, ,TS,40,1001,0,120,180,0,0, , , , , , , , ,1009,270,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,65
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 18:00:00,TS,19.1,-85.7,45,999,hurdat_atl,main,183,181,O______________,hurdat_atl,AL142018,19.1,-85.7, ,TS,45,999,0,120,180,0,0, , , , , , , , ,1009,270,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50, , , , , , , , , ,6,45
2018280N18273,2018,95,,CS,MICHAEL,2018-10-07 21:00:00,TS,19.4,-85.6, , , ,main,189,189,P______________, ,AL142018,19.4,-85.6, ,TS,48,998,0,120,165,45,45, , , , , , , , ,1009,270,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,20
2018280N18273,2018,95,,CS,MICHAEL,2018-10-08 00:00:00,TS,19.7,-85.5,50,996,hurdat_atl,main,190,177,O______________,hurdat_atl,AL142018,19.7,-85.5, ,TS,50,996,0,120,150,90,90,40,0,0,0, , , , ,1008,270,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60, , , , ,12,90,90, , ,6,10
2018280N18273,2018,95,,CS,MICHAEL,2018-10-08 03:00:00,TS,19.9,-85.5, , , ,main,177,168,P______________, ,AL142018,19.9,-85.5, ,TS,55,990,0,120,150,90,90,60,40,0,25, , , , ,1008,270,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,105,90, , ,5,10
2018280N18273,2018,95,,CS,MICHAEL,2018-10-08 06:00:00,TS,20.2,-85.4,60,984,hurdat_atl,main,168,154,O______________,hurdat_atl,AL142018,20.2,-85.4, ,TS,60,984,0,120,150,90,90,80,80,0,50, , , , ,1008,270,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,75, , , , ,12,120,90, , ,6,20
